id,fecha_generacion,juego,numeros,sorteo_objetivo,estado,aciertos,score_afinidad,hora_dia,algoritmo,nota_especial,fecha_lanzamiento,modalidad
1768628924,2026-01-17 02:31:25,LOTO,"[1, 13, 14, 16, 22, 41]",5375,AUDITADO,0,0.0,2,oraculo_neural_v3,NORMAL,18/01/2026 21:00,
1768621651,2026-01-17 00:47:31,LOTO,"[2, 19, 21, 30, 31, 38]",5375,AUDITADO,3,15.0,0,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768630255,2026-01-17 02:53:26,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,2,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768630355,2026-01-17 02:53:26,RACHA,"[5, 6, 7, 8, 9, 10, 12, 14, 17, 19]",10301,AUDITADO,4,5.0,2,oraculo_neural_v3,NORMAL,17/01/2026 15:00,
1768624689,2026-01-17 01:36:28,LOTO,"[7, 19, 26, 32, 40, 41]",5375,AUDITADO,1,0.83,1,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768622760,2026-01-17 00:47:31,LOTO4,"[1, 11, 19, 20]",11568,AUDITADO,2,20.0,0,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768622770,2026-01-17 00:47:31,LOTO4,"[1, 5, 9, 16]",11568,AUDITADO,2,20.0,0,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768625988,2026-01-17 01:36:28,RACHA,"[1, 2, 3, 6, 7, 9, 14, 18, 19, 20]",10301,AUDITADO,7,50.0,1,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768618759,2026-01-16 23:40:30,LOTO4,"[1, 5, 9, 16]",11568,AUDITADO,2,20.0,23,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768618799,2026-01-16 23:40:30,RACHA,"[1, 2, 3, 4, 8, 13, 16, 17, 18, 19]",10301,AUDITADO,6,30.0,23,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768627096,2026-01-17 01:58:57,RACHA,"[1, 2, 3, 4, 8, 13, 15, 17, 18, 19]",10301,AUDITADO,6,30.0,1,oraculo_neural_v4,NORMAL,17/01/2026 15:00,
1768629307,2026-01-17 02:53:26,LOTO,"[7, 20, 30, 32, 33, 37]",5375,AUDITADO,2,1.67,2,gaussiano_inteligente_v1,NORMAL,18/01/2026 21:00,
1768630295,2026-01-17 02:53:26,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,2,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768625637,2026-01-17 01:36:28,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,1,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768628964,2026-01-17 02:31:25,LOTO3,"[0, 7, 9]",23998,AUDITADO,1,4.0,2,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768630375,2026-01-17 02:53:26,RACHA,"[1, 4, 5, 7, 8, 9, 13, 15, 17, 19]",10301,AUDITADO,4,5.0,2,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768618749,2026-01-16 23:40:30,LOTO4,"[1, 5, 9, 16]",11568,AUDITADO,2,20.0,23,oraculo_neural_v4,NORMAL,17/01/2026 14:00,
1768626139,2026-01-17 01:58:57,LOTO,"[3, 7, 24, 28, 29, 32]",5375,AUDITADO,1,0.83,1,delta_dna_v1,NORMAL,18/01/2026 21:00,
1768623051,2026-01-17 00:47:31,RACHA,"[2, 3, 7, 8, 9, 12, 15, 18, 19, 20]",10301,AUDITADO,5,15.0,0,forense_biometrico_v1,NORMAL,17/01/2026 15:00,
1768627046,2026-01-17 01:58:57,LOTO4,"[9, 11, 19, 20]",11568,AUDITADO,1,0.0,1,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768629906,2026-01-17 02:53:26,LOTO3,"[4, 7, 8]",23998,AUDITADO,1,4.0,2,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768618739,2026-01-16 23:40:30,LOTO4,"[7, 8, 19, 21]",11568,AUDITADO,0,0.0,23,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768627106,2026-01-17 01:58:57,RACHA,"[1, 2, 4, 8, 9, 13, 14, 15, 17, 19]",10301,AUDITADO,6,30.0,1,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 15:00,
1768628994,2026-01-17 02:31:25,LOTO4,"[6, 7, 11, 21]",11568,AUDITADO,2,20.0,2,oraculo_neural_v3,NORMAL,17/01/2026 14:00,
1768629408,2026-01-17 02:53:26,LOTO,"[7, 11, 19, 20, 26, 36]",5375,AUDITADO,0,0.0,2,delta_dna_v1,NORMAL,18/01/2026 21:00,
1768626937,2026-01-17 01:58:57,LOTO4,"[5, 9, 16, 17]",11568,AUDITADO,1,0.0,1,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768617630,2026-01-16 23:40:30,LOTO,"[2, 11, 14, 15, 31, 34]",5375,AUDITADO,1,0.83,23,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768629206,2026-01-17 02:53:26,LOTO,"[14, 19, 27, 28, 31, 38]",5375,AUDITADO,1,0.83,2,forense_biometrico_v1,NORMAL,18/01/2026 21:00,
1768622651,2026-01-17 00:47:31,LOTO4,"[3, 7, 20, 21]",11568,AUDITADO,0,0.0,0,forense_biometrico_v1,NORMAL,17/01/2026 14:00,
1768629034,2026-01-17 02:31:25,RACHA,"[1, 2, 3, 8, 9, 14, 16, 17, 19, 20]",10301,AUDITADO,7,50.0,2,oraculo_neural_v3,NORMAL,17/01/2026 15:00,
1768622780,2026-01-17 00:47:31,LOTO4,"[1, 9, 11, 19]",11568,AUDITADO,2,20.0,0,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,17/01/2026 14:00,
1768628944,2026-01-17 02:31:25,LOTO,"[1, 8, 13, 22, 27, 29]",5375,AUDITADO,0,0.0,2,consenso_meritocratico_v2,🔥 ALTA CONFIANZA,18/01/2026 21:00,
1768622700,2026-01-17 00:47:31,LOTO,"[1, 13, 15, 29, 33, 35]",5375,AUDITADO,0,0.0,0,oraculo_neural_v4,NORMAL,18/01/2026 21:00,
1768622810,2026-01-17 00:47:31,RACHA,"[1, 2, 3, 4, 8, 13, 15, 17, 18, 19]",10301,AUDITADO,6,30.0,0,oraculo_neural_v4,NORMAL,17/01/2026 15:00,
1768629044,2026-01-17 02:31:25,RACHA,"[1, 2, 3, 4, 8, 13, 15, 17, 18, 19]",10301,AUDITADO,6,30.0,2,oraculo_neural_v4,NORMAL,17/01/2026 15:00,
